ID,Title,Content,SKU,"Product Type","Parent Product ID","Produkt Akku","Produkt Anzahl Aufsätze","Produkt Bruttogewicht (inkl. Verp.)","Produkt Farbe","Produkt Fassungsvermögen","Produkt Filtereinsatz","Produkt Geräuschentwicklung","Produkt Gewicht","Produkt Ladezeit","Produkt Laufzeit / Leistung (Eco)","Produkt Masse Des Produktes","Produkt Saugleistung","Produkt Saugstärke","Produkt Saugstufen","Produkt Staubbeutel","Produkt Staubsaugertyp","Product Attributes"
29,"Toaster 1000","Dies ist die Kategoriebeschreibung für den Toaster 1000",TS1000,simple,0,,,,Blau,,,,1000,,,,,,,,,"a:2:{s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:10:""pa_gewicht"";a:6:{s:4:""name"";s:10:""pa_gewicht"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
47,"Toaster Upsell",,sku-toaster-upsell,simple,0,,,,Grün,,,,300,,,,,,,,,"a:2:{s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:10:""pa_gewicht"";a:6:{s:4:""name"";s:10:""pa_gewicht"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
48,"Toaster Zubehör Crosselling",,sku-toaster-crossselling,simple,0,,,,,,,,,,,,,,,,,
152,"Toaster 1000","Dies ist die Kategoriebeschreibung für den Toaster 1000",TS1000,simple,0,,,,Blau,,,,1000,,,,,,,,,"a:2:{s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:10:""pa_gewicht"";a:6:{s:4:""name"";s:10:""pa_gewicht"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
155,"Toaster 1000","Dies ist die Kategoriebeschreibung für den Toaster 1000",TS1000,simple,0,,,,Blau,,,,1000,,,,,,,,,"a:2:{s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:10:""pa_gewicht"";a:6:{s:4:""name"";s:10:""pa_gewicht"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
158,"Toaster 1000","Dies ist die Kategoriebeschreibung für den Toaster 1000",TS1000,simple,0,,,,Blau,,,,1000,,,,,,,,,"a:2:{s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:10:""pa_gewicht"";a:6:{s:4:""name"";s:10:""pa_gewicht"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
161,"Toaster 1000","Dies ist die Kategoriebeschreibung für den Toaster 1000",TS1000,simple,0,,,,Blau,,,,1000,,,,,,,,,"a:2:{s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:10:""pa_gewicht"";a:6:{s:4:""name"";s:10:""pa_gewicht"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
249,"HV 7166 Kabelloser 2-in-1 Hand- und Stielsauger - Weiss-Rot",,7166000,simple,0,"Li-Ion: 25.9V 2.500 mAh",3,"4.82 kg",Weiss-Rot,"0.5 Liter",E-12,"75 dB",,"3 h","60 Minuten","77,8 x 29,2 x 13,8 cm","400 Watt","23 kPa",3,Nein,"Kabelloser Staubsauger","a:15:{s:17:""pa_staubsaugertyp"";a:6:{s:4:""name"";s:17:""pa_staubsaugertyp"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:7:""pa_akku"";a:6:{s:4:""name"";s:7:""pa_akku"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:13:""pa_saugstufen"";a:6:{s:4:""name"";s:13:""pa_saugstufen"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:19:""pa_anzahl-aufsaetze"";a:6:{s:4:""name"";s:19:""pa_anzahl-aufsaetze"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:23:""pa_geraeuschentwicklung"";a:6:{s:4:""name"";s:23:""pa_geraeuschentwicklung"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:20:""pa_fassungsvermoegen"";a:6:{s:4:""name"";s:20:""pa_fassungsvermoegen"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:16:""pa_filtereinsatz"";a:6:{s:4:""name"";s:16:""pa_filtereinsatz"";s:5:""value"";s:0:"""";s:8:""position"";i:7;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_staubbeutel"";a:6:{s:4:""name"";s:14:""pa_staubbeutel"";s:5:""value"";s:0:"""";s:8:""position"";i:8;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:24:""pa_laufzeit-leistung-eco"";a:6:{s:4:""name"";s:24:""pa_laufzeit-leistung-eco"";s:5:""value"";s:0:"""";s:8:""position"";i:9;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_ladezeit"";a:6:{s:4:""name"";s:11:""pa_ladezeit"";s:5:""value"";s:0:"""";s:8:""position"";i:10;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:15:""pa_saugleistung"";a:6:{s:4:""name"";s:15:""pa_saugleistung"";s:5:""value"";s:0:"""";s:8:""position"";i:11;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_saugstaerke"";a:6:{s:4:""name"";s:14:""pa_saugstaerke"";s:5:""value"";s:0:"""";s:8:""position"";i:12;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:22:""pa_masse-des-produktes"";a:6:{s:4:""name"";s:22:""pa_masse-des-produktes"";s:5:""value"";s:0:"""";s:8:""position"";i:13;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:26:""pa_bruttogewicht-inkl-verp"";a:6:{s:4:""name"";s:26:""pa_bruttogewicht-inkl-verp"";s:5:""value"";s:0:"""";s:8:""position"";i:14;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
250,"HV 7185 - SEPURO - Akku Hand- und Stielsauger mit Staubbeutel",,7185000,simple,0,"Li-Ion: 18V 3.000 mAh",3,"6.84 kg",Anthrazit,"1 Liter","HEPA 13","79 dB",,"&lt; 1 h","60 Minuten","112 x 12 x 22 cm","280 Watt","20 kPa",3,Ja,"Kabelloser Staubsauger","a:15:{s:17:""pa_staubsaugertyp"";a:6:{s:4:""name"";s:17:""pa_staubsaugertyp"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:7:""pa_akku"";a:6:{s:4:""name"";s:7:""pa_akku"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:13:""pa_saugstufen"";a:6:{s:4:""name"";s:13:""pa_saugstufen"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:19:""pa_anzahl-aufsaetze"";a:6:{s:4:""name"";s:19:""pa_anzahl-aufsaetze"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:20:""pa_fassungsvermoegen"";a:6:{s:4:""name"";s:20:""pa_fassungsvermoegen"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:16:""pa_filtereinsatz"";a:6:{s:4:""name"";s:16:""pa_filtereinsatz"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:23:""pa_geraeuschentwicklung"";a:6:{s:4:""name"";s:23:""pa_geraeuschentwicklung"";s:5:""value"";s:0:"""";s:8:""position"";i:7;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_staubbeutel"";a:6:{s:4:""name"";s:14:""pa_staubbeutel"";s:5:""value"";s:0:"""";s:8:""position"";i:8;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:24:""pa_laufzeit-leistung-eco"";a:6:{s:4:""name"";s:24:""pa_laufzeit-leistung-eco"";s:5:""value"";s:0:"""";s:8:""position"";i:9;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_ladezeit"";a:6:{s:4:""name"";s:11:""pa_ladezeit"";s:5:""value"";s:0:"""";s:8:""position"";i:10;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:15:""pa_saugleistung"";a:6:{s:4:""name"";s:15:""pa_saugleistung"";s:5:""value"";s:0:"""";s:8:""position"";i:11;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_saugstaerke"";a:6:{s:4:""name"";s:14:""pa_saugstaerke"";s:5:""value"";s:0:"""";s:8:""position"";i:12;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:22:""pa_masse-des-produktes"";a:6:{s:4:""name"";s:22:""pa_masse-des-produktes"";s:5:""value"";s:0:"""";s:8:""position"";i:13;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:26:""pa_bruttogewicht-inkl-verp"";a:6:{s:4:""name"";s:26:""pa_bruttogewicht-inkl-verp"";s:5:""value"";s:0:"""";s:8:""position"";i:14;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
253,"HV 7187 - SEPURO Pro - Akku Hand- und Stielsauger mit Staubbeutel",,7187000,simple,0,"Li-Ion: 18V 3.000 mAh",4,"6.84 kg",Schwarz-Matt,"1 Liter","HEPA 13","79 dB",,"&lt; 1 h","60 Minuten","112 x 12 x 22 cm","450 Watt","24 kPa",4,Ja,"Kabelloser Staubsauger","a:15:{s:17:""pa_staubsaugertyp"";a:6:{s:4:""name"";s:17:""pa_staubsaugertyp"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:8:""pa_farbe"";a:6:{s:4:""name"";s:8:""pa_farbe"";s:5:""value"";s:0:"""";s:8:""position"";i:1;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:7:""pa_akku"";a:6:{s:4:""name"";s:7:""pa_akku"";s:5:""value"";s:0:"""";s:8:""position"";i:2;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:13:""pa_saugstufen"";a:6:{s:4:""name"";s:13:""pa_saugstufen"";s:5:""value"";s:0:"""";s:8:""position"";i:3;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:19:""pa_anzahl-aufsaetze"";a:6:{s:4:""name"";s:19:""pa_anzahl-aufsaetze"";s:5:""value"";s:0:"""";s:8:""position"";i:4;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:23:""pa_geraeuschentwicklung"";a:6:{s:4:""name"";s:23:""pa_geraeuschentwicklung"";s:5:""value"";s:0:"""";s:8:""position"";i:5;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:20:""pa_fassungsvermoegen"";a:6:{s:4:""name"";s:20:""pa_fassungsvermoegen"";s:5:""value"";s:0:"""";s:8:""position"";i:6;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:16:""pa_filtereinsatz"";a:6:{s:4:""name"";s:16:""pa_filtereinsatz"";s:5:""value"";s:0:"""";s:8:""position"";i:7;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_staubbeutel"";a:6:{s:4:""name"";s:14:""pa_staubbeutel"";s:5:""value"";s:0:"""";s:8:""position"";i:8;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:24:""pa_laufzeit-leistung-eco"";a:6:{s:4:""name"";s:24:""pa_laufzeit-leistung-eco"";s:5:""value"";s:0:"""";s:8:""position"";i:9;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:11:""pa_ladezeit"";a:6:{s:4:""name"";s:11:""pa_ladezeit"";s:5:""value"";s:0:"""";s:8:""position"";i:10;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:15:""pa_saugleistung"";a:6:{s:4:""name"";s:15:""pa_saugleistung"";s:5:""value"";s:0:"""";s:8:""position"";i:11;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:14:""pa_saugstaerke"";a:6:{s:4:""name"";s:14:""pa_saugstaerke"";s:5:""value"";s:0:"""";s:8:""position"";i:12;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:22:""pa_masse-des-produktes"";a:6:{s:4:""name"";s:22:""pa_masse-des-produktes"";s:5:""value"";s:0:"""";s:8:""position"";i:13;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}s:26:""pa_bruttogewicht-inkl-verp"";a:6:{s:4:""name"";s:26:""pa_bruttogewicht-inkl-verp"";s:5:""value"";s:0:"""";s:8:""position"";i:14;s:10:""is_visible"";i:1;s:12:""is_variation"";i:0;s:11:""is_taxonomy"";i:1;}}"
256,"ZB 7225 1x E12 Abluftfilter & 1x Motorschutzfilter","Das 2-teilige Filterset besteht aus einem E12 Abluftfilter  und einem Motorschutzfilter. Der Motorfilter schützt den Akkustaubsauger HV 7166 langfristig und sorgt für eine längere Lebensdauer des Staubsaugers. Er verhindert Beschädigungen des Motors durch feinen Staub. Der Abluftfilter sorgt für eine Filtration von 99,5% aller Allergene und Feinstaubpartikel.",7225000,simple,0,,,,,,,,,,,,,,,,,
326,"Toaster Bundle",,,bundle,0,,,,,,,,,,,,,,,,,
